10955	Pingente do Fogo+10	Não pode ser refinado ou negociado.
10956	Pingente do Gelo+10	Não pode ser refinado ou negociado.
10957	Pingente do Vento+10	Não pode ser refinado ou negociado.
10958	Pingente do Trovão+10	Não pode ser refinado ou negociado.
10959	Pingente da Terra+10	Não pode ser refinado ou negociado.
10960	Pingente das Trevas+10	Não pode ser refinado ou negociado.
74017	Chapéu vermelho	Um chapéu vermelho tubular popularmente conhecido pelos habitantes dos desertos.	
74018	Lenço do deserto	Lenço resistente capaz de proteger a cabeça do sol escaldante. Técnica usada pelos exploradores do deserto.	
74019	Turbante	Acredita-se que esse visual imponente, pode intimidar as criaturas do deserto. Grandes exploradores, nunca dispensaram o uso.	
74020	Máscara de abobora	Guerreiro(M)	
74251	Rabo de Cavalo (Marrom)	Tradicional cabelo preso em rabo-de-cavalo, na cor marrom.	
74252	Rabo de Cavalo (Verde)	Tradicional cabelo preso em rabo-de-cavalo, na cor verde.	
74253	Rabo de Cavalo (Azul)	Tradicional cabelo preso em rabo-de-cavalo, na cor azul.	
74254	Rabo de Cavalo (Pérola)	Tradicional cabelo preso em rabo-de-cavalo, na cor pérola.	
74255	Corte Médio (Ruivo)	Corte circular, cobrindo toda a cabeça, na cor vermelha.	
74256	Corte Médio (Castanho)	Corte circular, cobrindo toda a cabeça, na cor castanha.	
74257	Corte Médio (Loiro)	Corte circular, cobrindo toda a cabeça, na cor amarela.	
74258	Corte Médio (Roxo)	Corte circular, cobrindo toda a cabeça, na cor roxa.	
74259	Corte Curto (Ruivo)	Corte curto com franja lateral, na cor vermelha.	
74260	Corte Curto (Azul)	Corte curto com franja lateral, na cor azul.	
74261	Corte Curto (Preto)	Corte curto com franja lateral, na cor preta.	
74262	Corte Curto (Dourado)	Corte curto com franja lateral, na cor dourada.	
74263	Pink Power	Esse estiloso Penteado, eleva a autoconfiaça e o vigor de quem usa. 	
74264	Pink Power	Esse estiloso Penteado, eleva a autoconfiaça e o vigor de quem usa. 	
74265	Sakkat Yoora	Chapéu simbolizando a antiga tradição de beleza, honrando a grandeza da deusa dragão Yoora. As mulheres mais lindas usam para demosntrar seu poder.	
74266	Sakkat Yoora	Chapéu simbolizando a antiga tradição de beleza, honrando a grandeza da deusa dragão Yoora. As mulheres mais lindas usam para demosntrar seu poder.	
74267	Véu	Antigo visual desenvolvido para proteger os cabelos longos e naturais e a pele, de mulheres que viajam pelo deserto.	
74268	Máscara do deserto	Fornece uma melhor proteção contra o sol e tempestades de areia do deserto. Algumas mulheres usam também para esconder seu lindo rosto.	
74269	Turbante	Acredita-se que esse visual imponente, pode intimidar as criaturas do deserto. Grandes exploradores, nunca dispensaram o uso.	
74270	Máscara de abobora	Ninja (F)	
74501	Estilo Soldado (Branco)	Corte muito curto, com costeletas, na cor branca.	
74502	Estilo Soldado (Marrom)	Corte muito curto, com costeletas, na cor marrom.	
74503	Estilo Soldado (Loiro)	Corte muito curto, com costeletas, na cor amarela.	
74504	Estilo Soldado (Verde)	Corte muito curto, com costeletas, na cor verde.	
74505	Franja (Branco)	Cabelo comprido e uma longa franja, na cor branca.	
74506	Franja (Ruivo)	Cabelo comprido e uma longa franja, na cor vermelha.	
74507	Franja (Preto)	Cabelo comprido e uma longa franja, na cor preta.	
74508	Franja (Lilás)	Cabelo comprido e uma longa franja, na cor lilás.	
74509	Cabelo Preso (Branco)	Cabelo todo preso para trás, na cor branca.	
74510	Cabelo Preso (Azul)	Cabelo todo preso para trás, na cor azul.	
74511	Cabelo Preso (Preto)	Cabelo todo preso para trás, na cor preta.	
74512	Cabelo Preso (Castanho)	Cabelo todo preso para trás, na cor castanha.	
74513	Black Power	Esse estiloso Penteado, eleva a autoconfiaça e o vigor de quem usa. 	
74514	Black Power	Esse estiloso Penteado, eleva a autoconfiaça e o vigor de quem usa. 	
74515	Sakkat Helong	Chapéu simbolizando o poder e beleza do grande deus dragão Helong. Os mais corajosos mostram seu vigor e honra quando usam.	
74516	Sakkat Helong	Chapéu simbolizando o poder e beleza do grande deus dragão Helong. Os mais corajosos mostram seu vigor e honra quando usam.	
74517	Chapéu vermelho	Um chapéu vermelho tubular popularmente conhecido pelos habitantes dos desertos.	
74518	Lenço do deserto	Lenço resistente capaz de proteger a cabeça do sol escaldante. Técnica usada pelos exploradores do deserto.	
74519	Turbante	Acredita-se que esse visual imponente, pode intimidar as criaturas do deserto. Grandes exploradores, nunca dispensaram o uso.	
74520	Máscara de abobora	Shura (M)	
74751	Presilha (Castanho)	Cabelo preso por uma singela presilha, na cor castanha.	
74752	Presilha (Preto)	Cabelo preso por uma singela presilha, na cor preta.	
74753	Presilha (Azul)	Cabelo preso por uma singela presilha, na cor azul.	
74754	Presilha (Branco)	Cabelo preso por uma singela presilha, na cor branca.	
74755	Corte Desfiado (Marrom)	Corte liso, com as pontas desfiadas, na cor marrom.	
74756	Corte Desfiado (Preto)	Corte liso, com as pontas desfiadas, na cor preta.	
74757	Corte Desfiado (Loiro)	Corte liso, com as pontas desfiadas, na cor amarela.	
74758	Corte Desfiado (Lilás)	Corte liso, com as pontas desfiadas, na cor lilás.	
74759	Cabelo Longo (Castanho)	Cabelo penteado todo para um lado, na cor castanha.	
74760	Cabelo Longo (Loiro)	Cabelo penteado todo para um lado, na cor amarela.	
74761	Cabelo Longo (Lilás)	Cabelo penteado todo para um lado, na cor lilás.	
74762	Cabelo Longo (Marrom)	Cabelo penteado todo para um lado, na cor marrom.	
74763	Pink Power	Esse estiloso Penteado, eleva a autoconfiaça e o vigor de quem usa. 	
74764	Pink Power	Esse estiloso Penteado, eleva a autoconfiaça e o vigor de quem usa. 	
74765	Sakkat Yoora	Chapéu simbolizando a antiga tradição de beleza, honrando a grandeza da deusa dragão Yoora. As mulheres mais lindas usam para demosntrar seu poder.	
74766	Sakkat Yoora	Chapéu simbolizando a antiga tradição de beleza, honrando a grandeza da deusa dragão Yoora. As mulheres mais lindas usam para demosntrar seu poder.	
74767	Véu	Antigo visual desenvolvido para proteger os cabelos longos e naturais e a pele, de mulheres que viajam pelo deserto.	
74768	Máscara do deserto	Fornece uma melhor proteção contra o sol e tempestades de areia do deserto. Algumas mulheres usam também para esconder seu lindo rosto.	
74769	Turbante	Acredita-se que esse visual imponente, pode intimidar as criaturas do deserto. Grandes exploradores, nunca dispensaram o uso.	
74770	Máscara de abobora	Shaman (F)	
75001	Corte Odango (Ruivo)	Cabelos presos ao lado da cabeça em pequenos coques, na cor vermelha.	
75002	Corte Odango (Rosa)	Cabelos presos ao lado da cabeça em pequenos coques, na cor rosa.	
75003	Corte Odango (Azul)	Cabelos presos ao lado da cabeça em pequenos coques, na cor azul.	
75004	Corte Odango (Castanho)	Cabelos presos ao lado da cabeça em pequenos coques, na cor castanha.	
75005	Curto com faixa (Ruivo)	Corte curto com uma faixa presa à testa, na cor vermelha.	
75006	Curto com faixa (Loiro)	Corte curto com uma faixa presa à testa, na cor amarela.	
75007	Curto com faixa (Azul)	Corte curto com uma faixa presa à testa, na cor azul.	
75008	Curto com faixa (Verde)	Corte curto com uma faixa presa à testa, na cor verde.	
75009	Coque com mecha (Preto)	Cabelo preso com uma mecha caindo pelo rosto, na cor preta.	
75010	Coque com mecha (Ruivo)	Cabelo preso com uma mecha caindo pelo rosto, na cor vermelha.	
75011	Coque com mecha (Marrom)	Cabelo preso com uma mecha caindo pelo rosto, na cor marrom.	
75012	Coque com mecha (Verde)	Cabelo preso com uma mecha caindo pelo rosto, na cor verde.	
75013	Pink Power	Esse estiloso Penteado, eleva a autoconfiaça e o vigor de quem usa. 	Duração: 30 dias
75014	Pink Power	Esse estiloso Penteado, eleva a autoconfiaça e o vigor de quem usa. 	Duração: 30 dias
75015	Sakkat Yoora	Chapéu simbolizando a antiga tradição de beleza, honrando a grandeza da deusa dragão Yoora. As mulheres mais lindas usam para demosntrar seu poder.	Duração: 30 dias
75016	Sakkat Yoora	Chapéu simbolizando a antiga tradição de beleza, honrando a grandeza da deusa dragão Yoora. As mulheres mais lindas usam para demosntrar seu poder.	Duração: 30 dias
75017	Véu	Antigo visual desenvolvido para proteger os cabelos longos e naturais e a pele, de mulheres que viajam pelo deserto.	Duração: 30 dias
75018	Máscara do deserto	Fornece uma melhor proteção contra o sol e tempestades de areia do deserto. Algumas mulheres usam também para esconder seu lindo rosto.	Duração: 30 dias
75019	Turbante	Acredita-se que esse visual imponente, pode intimidar as criaturas do deserto. Grandes exploradores, nunca dispensaram o uso.	Duração: 30 dias
75020	Máscara de abobora	Guerreiro (F)	Duração: 30 dias
75201	Estilo Samurai (Marrom)	Corte que honra a antiga tradição samurai, na cor marrom.	Duração: 30 dias
75202	Estilo Samurai (Verde)	Corte que honra a antiga tradição samurai, na cor verde.	Duração: 30 dias
75203	Estilo Samurai (Azul)	Corte que honra a antiga tradição samurai, na cor azul.	Duração: 30 dias
75204	Estilo Samurai (Loiro)	Corte que honra a antiga tradição samurai, na cor amarela.	Duração: 30 dias
75205	Lenço Branco	Cabelo coberto por um lenço, deixando uma pequena franja à mostra, na cor branca.	Duração: 30 dias
75206	Lenço Escuro	Cabelo coberto por um lenço, deixando uma pequena franja à mostra, na cor verde.	Duração: 30 dias
75207	Lenço Bege	Cabelo coberto por um lenço, deixando uma pequena franja à mostra, na cor bege.	Duração: 30 dias
75208	Lenço Vermelho	Cabelo coberto por um lenço, deixando uma pequena franja à mostra, na cor vermelha.	Duração: 30 dias
75209	Corte Shaggy (Ruivo)	Cabelo bagunçado, na cor vermelha.	Duração: 30 dias
75210	Corte Shaggy (Azul)	Cabelo bagunçado, na cor azul.	Duração: 30 dias
75211	Corte Shaggy (Preto)	Cabelo bagunçado, na cor preta.	Duração: 30 dias
75212	Corte Shaggy (Loiro)	Cabelo bagunçado, na cor amarela.	Duração: 30 dias
75213	Black Power	Esse estiloso Penteado, eleva a autoconfiaça e o vigor de quem usa. 	Duração: 30 dias
75214	Black Power	Esse estiloso Penteado, eleva a autoconfiaça e o vigor de quem usa. 	Duração: 30 dias
75215	Sakkat Helong	Chapéu simbolizando o poder e beleza do grande deus dragão Helong. Os mais corajosos mostram seu vigor e honra quando usam.	Duração: 30 dias
75216	Sakkat Helong	Chapéu simbolizando o poder e beleza do grande deus dragão Helong. Os mais corajosos mostram seu vigor e honra quando usam.	Duração: 30 dias
75217	Chapéu vermelho	Um chapéu vermelho tubular popularmente conhecido pelos habitantes dos desertos.	Duração: 30 dias
75218	Lenço do deserto	Lenço resistente capaz de proteger a cabeça do sol escaldante. Técnica usada pelos exploradores do deserto.	
75219	Turbante	Acredita-se que esse visual imponente, pode intimidar as criaturas do deserto. Grandes exploradores, nunca dispensaram o uso.	Duração: 30 dias
75220	Máscara de abobora	Ninja (M)	Duração: 30 dias
75401	Corte Tridente (Cinza)	Cabelo preso em 3 pontas, na cor cinza.	Duração: 30 dias
75402	Corte Tridente (Marrom)	Cabelo preso em 3 pontas, na cor marrom.	Duração: 30 dias
75403	Corte Tridente (Loiro)	Cabelo preso em 3 pontas, na cor amarela.	Duração: 30 dias
75404	Corte Tridente (Verde)	Cabelo preso em 3 pontas, na cor verde.	Duração: 30 dias
75405	Cabelo Liso (Prata)	Cabelo superliso com detalhes dos lados, na cor prata.	Duração: 30 dias
75406	Cabelo Liso (Rosa)	Cabelo superliso com detalhes dos lados, na cor rosa.	Duração: 30 dias
75407	Cabelo Liso (Preto)	Cabelo superliso com detalhes dos lados, na cor preta.	Duração: 30 dias
75408	Cabelo Liso (Lilás)	Cabelo superliso com detalhes dos lados, na cor lilás.	Duração: 30 dias
75409	Corte Viena (Prata)	Corte clássico, com os cabelos presos no topo da cabeça, na cor prata.	Duração: 30 dias
75410	Corte Viena (Azul)	Corte clássico, com os cabelos presos no topo da cabeça, na cor azul.	Duração: 30 dias
75411	Corte Viena (Preto)	Corte clássico, com os cabelos presos no topo da cabeça, na cor preta.	Duração: 30 dias
75412	Corte Viena (Castanho)	Corte clássico, com os cabelos presos no topo da cabeça, na cor castanha.	Duração: 30 dias
75413	Pink Power	Esse estiloso Penteado eleva a autoconfiaça e o vigor de quem usa. 	Duração: 30 dias
75414	Pink Power	Esse estiloso Penteado, eleva a autoconfiaça e o vigor de quem usa. 	Duração: 30 dias
75415	Sakkat Yoora	Chapéu simbolizando a antiga tradição de beleza, honrando a grandeza da deusa dragão Yoora. As mulheres mais lindas usam para demosntrar seu poder.	Duração: 30 dias
75416	Sakkat Yoora	Chapéu simbolizando a antiga tradição de beleza, honrando a grandeza da deusa dragão Yoora. As mulheres mais lindas usam para demosntrar seu poder.	Duração: 30 dias
75417	Véu	Antigo visual desenvolvido para proteger os cabelos longos e naturais e a pele, de mulheres que viajam pelo deserto.	Duração: 30 dias
75418	Máscara do deserto	Fornece uma melhor proteção contra o sol e tempestades de areia do deserto. Algumas mulheres usam também para esconder seu lindo rosto.	Duração: 30 dias
75419	Turbante	Acredita-se que esse visual imponente, pode intimidar as criaturas do deserto. Grandes exploradores, nunca dispensaram o uso.	Duração: 30 dias
75420	Máscara de abobora	Shura (F)	Duração: 30 dias
75601	Para Trás (Castanho)	Cabelo comprido todo penteado para trás, na cor castanha.	Duração: 30 dias
75602	Para Trás (Preto)	Cabelo comprido todo penteado para trás, na cor preta.	Duração: 30 dias
75603	Para Trás (Azul)	Cabelo comprido todo penteado para trás, na cor azul.	Duração: 30 dias
75604	Para Trás (Cinza)	Cabelo comprido todo penteado para trás, na cor cinza.	Duração: 30 dias
75605	Cabelo Solto (Ruivo)	Cabelo solto na altura dos ombros, na cor vermelha.	Duração: 30 dias
75606	Cabelo Solto (Preto)	Cabelo solto na altura dos ombros, na cor preta.	Duração: 30 dias
75607	Cabelo Solto (Loiro)	Cabelo solto na altura dos ombros, na cor amarela.	Duração: 30 dias
75608	Cabelo Solto (Roxo)	Cabelo solto na altura dos ombros, na cor roxa.	Duração: 30 dias
75609	Tradicional (Castanho)	Corte tradicional dos antigos guerreiros orientais, na cor castanha.	Aumenta MP Máximo (7 dias)
75610	Tradicional (Loiro)	Corte tradicional dos antigos guerreiros orientais, na cor amarela.	Aumenta HP Máximo (7 dias)
75611	Tradicional (Azul)	Corte tradicional dos antigos guerreiros orientais, na cor azul.	Aumenta MP Máximo (7 dias)
75612	Tradicional (Ruivo)	Corte tradicional dos antigos guerreiros orientais, na cor vermelha.	Aumenta HP Máximo (7 dias)
75613	Black Power	Esse estiloso Penteado, eleva a autoconfiaça e o vigor de quem usa. 	Aumenta MP Máximo (7 dias)
75614	Black Power	Esse estiloso Penteado, eleva a autoconfiaça e o vigor de quem usa. 	Aumenta HP Máximo (7 dias)
75615	Sakkat Helong	Chapéu simbolizando o poder e beleza do grande deus dragão Helong. Os mais corajosos mostram seu vigor e honra quando usam.	Aumenta MP Máximo (7 dias)
75616	Sakkat Helong	Chapéu simbolizando o poder e beleza do grande deus dragão Helong. Os mais corajosos mostram seu vigor e honra quando usam.	Aumenta HP Máximo (7 dias)
75617	Chapéu vermelho	Um chapéu vermelho tubular popularmente conhecido pelos habitantes dos desertos.	Aumenta MP Máximo (7 dias)
75618	Lenço do deserto	Lenço resistente capaz de proteger a cabeça do sol escaldante. Técnica usada pelos exploradores do deserto.	Aumenta HP Máximo (7 dias)
75619	Turbante	Acredita-se que esse visual imponente, pode intimidar as criaturas do deserto. Grandes exploradores, nunca dispensaram o uso.	Aumenta MP Máximo (7 dias)
75620	Máscara de abobora	Shaman (M)	Aumenta HP Máximo (7 dias)
76000	Poção Regeneradora	Regenera instantaneamente 500HP.	
76001	Pergaminho do Recomeço	Reinicia os Status do personagem. 	
76002	Insígnia Demoníaca	A cabeça encolhida deste demônio abre o selo do 3º andar da Caverna Demoníaca. Este item não é negociável.	
76003	Poção Sagaz	Cooldown das skills fica 20% mais rápido	
76004	Benção de Yoora (PP)	A Benção de Yoora é uma poção feita da energia recebida dos dragões , isso mantem o estado mental de quem a usa sempre no melhor estado.	
76005	Bencao de Yoora (P)	A Benção de Yoora é uma poção feita da energia recebida dos dragões , isso mantem o estado mental de quem a usa sempre no melhor estado.	
76006	Detector de Metins	Detecta a localização de pedras Metin.	
76007	Manto da Bravura	Provoca todos os montros ao seu redor, fazendo com que todos ataquem quem vestir o manto. Pode ser usado somente uma vez.	
76008	Benção do Deus Dragão	Evita a perda de experiência ao morrer.	
76009	Pergaminho do Dragão	Aumenta em 10% a chance de sucesso na refinação do item, e se a refinação falhar ele não é destruído, apenas perde 1 nível.	
76011	Liutao	Aumenta em até 30% a exp ganha pelo grupo (deve ser usada pelo líder do grupo).	
76012	Poção Leopardo	Aumenta o movimento em 60 por 30 minutos (não cumulativo com Poção Roxa).	
76013	Pergam. Novo Aprim.	Adiciona uma nova propriedade ao item.	
76014	Pergam. do Aprimoramento	Altera uma propriedade já existente no item.	
76015	Esfera da Benção	De acondo com a lenda, é uma esfera com a benção dos Deuses.	
76016	Pergaminho da Paz	O item não quebra caso ocorra falha no refinamento, porém diminui um nível.	
76017	Poção Verde (M)	Velocidade de Ataque: +20 | Duração :10m	
76018	Poção Verde (G)	Velocidade de Ataque: +30 | Duração :10m	
76020	Soro da Persuasão	Aumenta a aceitação de itens de quest em 30%	
76021	Benção de Helong (PP)	A Benção de Helong é uma poção feita da energia recebida dos dragões , isso mantém o vigor de quem a usa sempre no melhor estado. | Recupera até 100.000 HP	
76022	Benção de Helong (P)	A Benção de Helong é uma poção feita da energia recebida dos dragões , isso mantem o vigor de quem a usa sempre no melhor estado. | Recupera até 1.000.000 HP	
76023	Aprimoramento Leve	Altera uma propriedade já existente em uma arma/armadura que possua nível igual ou menor que 40.	
76024	Novo Aprim. Leve	Adiciona uma nova propriedade em uma arma/armadura que possua nível igual ou menor que 40.	
76030	Doce (Monstro)	Pode ser adquirido apenas com gaya	Experiência +50% | Velocidade de Ataque +20% | Velocidade de Skill 20% | Dano contra monstro +10% | HP Máximo +10% | MP Máximo +10%
76034	Conselho do Eremita	Aumenta a probabilidade de sucesso ao ler um Livro de Skill em 150%.	
76035	Vida do Deus Dragão	Aumenta seu HP máximo em 20% por um período de tempo.| Duração:30 minutos	
76036	Ataque do Deus Dragão	Aumenta o dano entre 20% por um período de tempo.| Duração:30 minutos	
76037	Luva do Ladrão	Aumenta em 50% a chance de dropar itens ao derrotar monstros. Ao usar, o item será consumido e o bônus será aplicado durante um período.	
76038	Moeda Dourada da Sorte	Aumenta em 50% a chance de dropar gold ao derrotar monstros. Ao usar, o item será consumido e o bônus será aplicado durante um período.	
76039	Caixa Pedras D.(D~C)	Esse baú índigo contém onze Pedras do Dragão normais.	
76040	Pedra do Dragão (D~C)	Pedra do Dragão. Rank: normal. Contém uma Pedra do Dragão D ou C.	
76042	Anel do Teleporte	Esse anel te teleportará para uma localização dentro do seu reino, 50 vezes.	
76045	Renomear Pet	Arraste este item até seu pet para mudar o nome dele.	
76049	Benção de Helong((G)	A benção de Helong é uma poção feita daenergia recebida dos dragões, isso mantém o vigor de quem a usa sempre em seumelhor estado.	Recupera até 7.000.000 HP.
76050	Benção de Yoora(G)	A benção de Yoora é uma poção feita da energiarecebida dos dragões, isso mantém o estado mental de quem a usa sempre em seumelhor estado.	Recupera até 700.000 MP
76051	Anel dos Segredos	Previne o ganho de Experiência pela caça de monstros.	
76055	Add Aba de Equipamento	Expande a janela de equipamentos adicionando uma aba. Permite equipar dois conjuntos de equipamentos separados por aba. | Verifique a habilidade passiva após o uso do item.	
76068	Reiniciar Portal S. Mahi	A quantidade de entradas disponíveis na Invasão de Sung Mahi pode ser reiniciada ao utilizar este item.
79004	Baú Vermelho	Um Baú vermelho com aparência elegante. Parece guardar algo raro e valioso. 	
79005	Pergaminho do Recomeço	Reinicia os Status do personagem. 	
79007	Poção Sagaz	Cooldown das skills fica 20% mais rápido	
79008	Anel da Experiência	Aumenta em 50% a experiência obtida ao derrotar monstros.	
79009	Luva do Ladrão	Aumenta em 50% a chance de dropar itens ao derrotar monstros.	
79010	Moeda Dourada da Sorte	Aumenta em 50% a chance de dropar gold ao derrotar monstros.	
79012	Benção de Helong(P)	A benção de Helong é uma poção feita da energia recebida dos dragões, isso mantém o vigor de quem a usa sempre em seu melhor estado.	Recupera até 1.000.000 HP.
79013	Benção de Yoora(P)	A benção de Yoora é uma poção feita da energia recebida dos dragões, isso mantém o estado mental de quem a usa sempre em seu melhor estado.	Recupera até 100.000 MP.
79020	Perg. da Ressurreição	Utilizado para ressuscitar no mesmo local na Batalha de Guildas.	
79021	Teleporte Área Ocupada	Pode ser utilizado na Batalha de Guildas para teleportar imediatamente para a área ocupada por sua guilda. | Você pode mover-se através da interface do placar atual no mapa de Batalha de Guildas.	
79022	Passe Batalha de Guildas	Utilizado para participar da Batalha de Guildas. | O líder da guilda pode utilizar este item até 30 minutos antes do início da batalha.	
79023	Elixir Dragão Branco (P)	Item que aumenta o dano infligido ao alvo com o poder do Dragão Branco. | A partir do momento de uso, a contagem é consumida para cada ataque, e cada vez que o dano é aplicado, aumenta 10% do dano.	
79024	Elixir Dragão Branco (M)	Item que aumenta o dano infligido ao alvo com o poder do Dragão Branco. | A partir do momento de uso, a contagem é consumida para cada ataque, e cada vez que o dano é aplicado, aumenta 10% do dano.	
79025	Elixir Dragão Branco (G)	Item que aumenta o dano infligido ao alvo com o poder do Dragão Branco. | A partir do momento de uso, a contagem é consumida para cada ataque, e cada vez que o dano é aplicado, aumenta 10% do dano.	
79026	Elixir Dragão de Aço (P)	Item que reduz o dano recebido com o poder do Dragão de Aço. | A partir do momento de uso, a contagem é consumida cada vez que você é atacado, e o dano recebido é reduzido em 10% cada vez que o dano é aplicado.	
79027	Elixir Dragão de Aço (M)	Item que reduz o dano recebido com o poder do Dragão de Aço. | A partir do momento de uso, a contagem é consumida cada vez que você é atacado, e o dano recebido é reduzido em 10% cada vez que o dano é aplicado.	
79028	Elixir Dragão de Aço (G)	Item que reduz o dano recebido com o poder do Dragão de Aço. | A partir do momento de uso, a contagem é consumida cada vez que você é atacado, e o dano recebido é reduzido em 10% cada vez que o dano é aplicado.	
79100	Tincture of Kingdoms	Permissão de Exílio. Permite exilar de Jinno para Shinsu.	
79101	Tincture of Kingdoms	Permissão de Exílio. Permite exilar de Jinno para Chunjo.	
79102	Tincture of Kingdoms	Permissão de Exílio. Permite exilar de Chunjo para Jinno.	
79103	Tincture of Kingdoms	Permissão de Exílio. Permite exilar de Chunjo para Shinsu.	
79104	Tincture of Kingdoms	Permissão de Exílio. Permite exilar de Shinso para Jinno.	
79105	Tincture of Kingdoms	Permissão de Exílio. Permite exilar de Shinso para Chunjo.	
79501	Aljava do Arqueiro	Uma aljava que fornece flechas ilimitadas por 24 horas. Nenhuma redução para danos causados por tiros à distância.	
79502	Aljava do Arqueiro	Uma aljava que fornece flechas ilimitadas por 7 dias. Nenhuma redução para danos causados por tiros à distância.	
79503	Aljava do Arqueiro	Uma aljava que fornece flechas ilimitadas. Nenhuma redução para danos causados por tiros à distância.	
79504	Aljava do Arqueiro	Uma aljava que fornece flechas ilimitadas. Nenhuma redução para danos causados por tiros à distância.	
79505	Carta Okey	Ao coletar 24 cartas, um baralho será criado.	Ao usar este item em seu inventário, a quantidade em posse na interface do evento será aumentada.	Este item será deletado automaticamente no final do evento.
79506	Baralho	Você pode jogar ao usar o baralho na interface do Okey. O baralho será consumido ao iniciar o jogo.	Ao usar este item em seu inventário, a quantidade em posse na interface do evento será aumentada.	Este item será deletado automaticamente no final do evento.
79507	Bétula de Schmidt	Ao coletar 28 Bétula de Schmidt, um Yutnori Pan será criado.	Ao usar este item em seu inventário, a quantidade em posse na interface do evento será aumentada.	Este item será deletado automaticamente no final do evento.
79508	Yutnori Pan	Você pode jogar ao usar o Yutnori Pan na interface do Yutnori.	Ao usar este item em seu inventário, a quantidade em posse na interface do evento será aumentada.	Este item será deletado automaticamente no final do evento.
79509	Pergaminho do Oblívio	Remove o tempo de espera após aumentar o nível da montaria. É possivel usar através do Ajudante do Estábulo.	
79512	Carta de Tarô	18 Cartas de Tarô podem ser trocadas por 1 Baralho de Tarô.	
79513	Baralho de Tarô	Usado para jogar o Duelo de Videntes!	
79514	Moeda da Clarividência	Usada como moeda de troca por recompensas ou para doação.	
79602	Compass for En-Tai Guardian	Localiza o Ent Guardião.	
79603	Carta K	Ao coletar 25 cartas, um Deck K será criado.	Ao usar este item em seu inventário, a quantidade em posse na interface do evento será aumentada.
79604	Deck K	Você pode jogar ao usar o Deck K na interface do Pegue o Rei.	Ao usar este item em seu inventário, a quantidade em posse na interface do evento será aumentada.	Este item será deletado automaticamente no final do evento.
79605	Catalisador Cinto 1*	Aumenta a chance de sucesso ao manufaturar cintos em 1%.	
79606	Catalisador Cinto 2*	Aumenta a chance de sucesso ao manufaturar cintos em 2%.	
79607	Catalisador Cinto 3*	Aumenta a chance de sucesso ao manufaturar cintos em 5%.	
79608	Catalisador Cinto 4*	Aumenta a chance de sucesso ao manufaturar cintos em 10%.	
79609	Catalisador Cinto 5*	Aumenta a chance de sucesso ao manufaturar cintos em 20%.	
79610	Catalisador Arma 1*	Aumenta a chance de sucesso ao manufaturar armas em 1%.	
79611	Catalisador Arma 2*	Aumenta a chance de sucesso ao manufaturar armas em 2%.	
79612	Catalisador Arma 3*	Aumenta a chance de sucesso ao manufaturar armas em 5%.	
79613	Catalisador Arma 4*	Aumenta a chance de sucesso ao manufaturar armas em 10%.	
79614	Catalisador Arma 5*	Aumenta a chance de sucesso ao manufaturar armas em 20%.	
79615	Catalisador Armadura 1*	Aumenta a chance de sucesso ao manufaturar armaduras em 1%.	
79616	Catalisador Armadura 2*	Aumenta a chance de sucesso ao manufaturar armaduras em 2%.	
79617	Catalisador Armadura 3*	Aumenta a chance de sucesso ao manufaturar armaduras em 5%.	
79618	Catalisador Armadura 4*	Aumenta a chance de sucesso ao manufaturar armaduras em 10%.	
79619	Catalisador Armadura 5*	Aumenta a chance de sucesso ao manufaturar armaduras em 20%.	
79620	Catalisador Etc. 1*	Aumenta a chance de sucesso ao manufaturar itens diversos em 1%.	
79621	Catalisador Etc. 2*	Aumenta a chance de sucesso ao manufaturar itens diversos em 2%.	
79622	Catalisador Etc. 3*	Aumenta a chance de sucesso ao manufaturar itens diversos em 5%.	
79623	Catalisador Etc. 4*	Aumenta a chance de sucesso ao manufaturar itens diversos em 10%.	
79624	Catalisador Etc. 5*	Aumenta a chance de sucesso ao manufaturar itens diversos em 20%.	
79625	Catalisador Acessório 1*	Aumenta a chance de sucesso ao manufaturar acessórios em 1%.	
79626	Catalisador Acessório 2*	Aumenta a chance de sucesso ao manufaturar acessórios em 2%.	
79627	Catalisador Acessório 3*	Aumenta a chance de sucesso ao manufaturar acessórios em 5%.	
79628	Catalisador Acessório 4*	Aumenta a chance de sucesso ao manufaturar acessórios em 10%.	
79629	Catalisador Acessório 5*	Aumenta a chance de sucesso ao manufaturar acessórios em 20%.	
79630	Catalisad. Livro Hab. 1*	Aumenta a chance de sucesso ao manufaturar livros de habilidade em 1%.	
79631	Catalisad. Livro Hab. 2*	Aumenta a chance de sucesso ao manufaturar livros de habilidade em 2%.	
79632	Catalisad. Livro Hab. 3*	Aumenta a chance de sucesso ao manufaturar livros de habilidade em 5%.	
79633	Catalisad. Livro Hab. 4*	Aumenta a chance de sucesso ao manufaturar livros de habilidade em 10%.	
79634	Catalisad. Livro Hab. 5*	Aumenta a chance de sucesso ao manufaturar livros de habilidade em 20%.	
79635	Catalisador EC. Arma 1*	Aumenta a chance de sucesso ao manufaturar efeito de conjunto de armas em 1%.	
79636	Catalisador EC. Arma 2*	Aumenta a chance de sucesso ao manufaturar efeito de conjunto de armas em 2%.	
79637	Catalisador EC. Arma 3*	Aumenta a chance de sucesso ao manufaturar efeito de conjunto de armas em 5%.	
79638	Catalisador EC. Arma 4*	Aumenta a chance de sucesso ao manufaturar efeito de conjunto de armas em 10%.	
