AFF_LOVE_POINT	Pontos de Amor: %d%%
DRAGON_GATE_REINFORCE_QUESTION	Deseja tentar fortalecer?
DRAGON_GATE_AUTO_REINFORCE_QUESTION	Deseja tentar fortalecer automaticamente?
DRAGON_GATE_NEED_MATERIAL	Materiais necessários: %s
DRAGON_GATE_REINFORCE_NOT_ENOUGHT_POINT	Não possui pontos do Portão do Dragão suficientes para fortalecer.
DRAGON_GATE_REINFORCE_MAX	Não é possível fortalecer mais.
DRAGON_GATE_STEP_UPGRADE_QUESTION_1	Deseja avançar para o próximo estágio?
DRAGON_GATE_STEP_UPGRADE_QUESTION_2	Pontos necessários: %d
DRAGON_GATE_CLEAR_NOT_ENOUGHT_MAX_REINFORCE	Não é possível reiniciar. Avance para o próximo estágio.
DRAGON_GATE_TOOLTIP_NOT_ENOUGH_REINFORCE	Necessário %s com %d espaços ocupados.
DRAGON_GATE_STEP_CLEAR_QUESTION_1	Bônus adicionais serão removidos e os pontos necessários são %d.
DRAGON_GATE_STEP_CLEAR_QUESTION_2	Deseja reiniciar o estágio completamente?
DRAGON_GATE_STEP_CLEAR_WARNING_QUESTION_1	Pontos utilizados NÃO serão retornados.
DRAGON_GATE_STEP_CLEAR_WARNING_QUESTION_2	Deseja realmente prosseguir?
DRAGON_GATE_STEP_CLEAR_INITIALIZE_FIRST	Você deve reiniciar o Portão do Dragão através do botão 'Reiniciar'.
DRAGON_GATE_REINFORCE_NOT_ENOUGHT_ITEM_COUNT	Necessário 1x %s
DRAGON_GATE_MY_POINT_TOOLTIP	Pontos
DRAGON_GATE_NEED_POINT_TOOLTIP	Pontos necessários
DRAGON_GATE_REINFORCE_COUNT_TOOLTIP	Número de fortalecimentos
DRAGON_GATE_REINFORCE_TOOLTIP	Fortalecer
DRAGON_GATE_CLEAR_TOOLTIP	Reiniciar
DRAGON_GATE_STEP_CLEAR_TOOLTIP	Reiniciar estágio
DRAGON_GATE_STEP_UPGRADE_TOOLTIP	Avançar estágio
DRAGON_GATE_MASTER_STEP_CHECK	Necessário ser Mestre do Portão do Dragão: %s
DRAGON_GATE_TOOLTIP_TITLE	Explicação
DRAGON_GATE_TOOLTIP_LINE1	<Como conseguir pontos do Portão do Dragão>
DRAGON_GATE_TOOLTIP_LINE2	1. Solventes e Fragmentos do Portão podem ser obtidos ao derrotar monstros em Yohara
DRAGON_GATE_TOOLTIP_LINE3	2. Arraste o Fragmento do Portão em um Solvente para receber pontos do Portão do Dragão
DRAGON_GATE_TOOLTIP_LINE4	<Fortalecendo o Portão do Dragão>
DRAGON_GATE_TOOLTIP_LINE5	1. Ao fortalecer um Portão do Dragão, até 3 espaços poderão ser ocupados por vez
DRAGON_GATE_TOOLTIP_LINE6	2. Em cada estágio, o número máximo de fortalecimentos permitidos é 10
DRAGON_GATE_TOOLTIP_LINE7	3. Ao ocupar todos os espaços em um estágio, é possível tentar avançar para o próximo.
DRAGON_GATE_TOOLTIP_LINE8	<Reiniciando o Portão do Dragão>
DRAGON_GATE_TOOLTIP_LINE9	1. Ao reiniciar, apenas o Portão do Dragão correspondente será reiniciado e todos os bônus serão perdidos
DRAGON_GATE_TOOLTIP_LINE10	2. O número de fortalecimentos serão reiniciados e poderão ser usados novamente
DRAGON_GATE_TOOLTIP_LINE11	3. A opção 'Reiniciar' devolve os pontos do utilizados nos fortalecimentos, já a opção 'Reiniciar estágio', não devolve
DRAGON_GATE_REINFORCE_RESULT	Você ocupou %d espaço(s) (Fortalecimentos restantes: %d/10)
DRAGON_GATE_REINFORCE_TOOLTIP_TITLE	O que é fortalecimento automático?
DRAGON_GATE_REINFORCE_TOOLTIP_LINE1	Ao fortalecer o Portão do Dragão com essa função, todos os fortalecimentos disponíveis serão usados e os resultados serão mostrados imediatamente.
DRAGON_GATE_REINFORCE_TOOLTIP_LINE2	O fortalecimento será interrompido quando os materiais ou pontos necessários forem insuficientes ou caso atinja o limite de fortalecimentos permitidos.
DRAGON_GATE_REINFORCE_BONUS	 (+ %d)
DRAGON_GATE_REINFORCE_BONUS_APPLY	Bônus adicional recebido
DRAGON_GATE_REINFORCE_NOT_BONUS_APPLY	Você ainda não obteve o bônus adicional
DRAGON_GATE_REINFORCE_NOT_BONUS_APPLY2	Ao ocupar o espaço, há uma certa probabilidade de conseguir bônus adicional
DRAGON_GATE_REINFORCE_APPLY_DEFAULT_TOOLTIP	Você ainda não obteve o bônus adicional
DRAGON_GATE_ESSENCE_ITEM_USE	Usado para fortalecer o Portão do Dragão: %s
DRAGON_GATE_POINT_ACQUISITION	Recebeu %d pontos do Portão do Dragão
DRAGON_GATE_POINT_USE	Usou %d pontos do Portão do Dragão
DRAGON_GATE_CLEAR_ITEM_NOT_ENOUGHT	Você não possui o item necessário para reiniciar o Portão do Dragão
DRAGON_GATE_POINT_OVER	Não é possível usar, pois ultrapassa o limite de 999.999 pontos
DRAGON_GATE_MELT_DECOMPOSITION_FAIL	O uso do solvente falhou
DRAGON_GATE_SYSTEM_UNAVAILABLE	Não é possível usar o sistema do Portão do Dragão
DRAGON_GATE_UNACQUIRED	É possível usar após completar a missão de aquisição do Portão do Dragão
DRAGON_GATE_CONQUEROR_CHECK	Disponível ao atingir nível conquistador
DRAGON_GATE_STEP_UPGRADE_SUCCESS	O avanço para o próximo estágio foi bem sucedido!
DRAGON_GATE_STEP_UPGRADE_FAIL	O avanço para o próximo estágio falhou!
MAP_ICE_CRYSTALS_CAVE	Cânion Boreal
MAP_WHITE_DRAGON_VALLEY	Vale Álgido
MAP_WHITE_DRAGON_CAVE_01	Caverna Boreal
MAP_WHITE_DRAGON_CAVE_02	Gruta Boreal
MAP_WHITE_DRAGON_CAVE_BOSS	Abismo Boreal
WHITE_DRAGON_CAVE_COOLING_CURSE	A cada acúmulo, receberá dano equivalente a {1}% do HP máximo a cada {0} seg. - Acúmulo atual {2}
ITEM_CANNOT_REFINE	Este item não pode ser refinado
REFINE_POPUP_NO_DOWNGRADE_MESSAGE	Refinação não será diminuída em caso de falha.
GAME_USE_MONEY	Foram deduzidos %s gold.
CHEQUE_USE_WON	Foram deduzidos %s won.
GEM_USE_GEM	Foram deduzidos %s gaya.
HACK_USER_MESSAGE	Esta função está indisponível, pois foi detectado um programa irregular.
TOOLTIP_AFFECT_ICECREAM	Sorvete\nVelocidade de movimento +10%\nAtaque +5%\nExperiência +10%	SNA
ICECREAM_EVENT_SCOOP_MAX_COUNT	Não é possível coletar mais Bolas de Sorvete.
ICECREAM_EVENT_GET_SCOOP	Você coletou 1 Bola de Sorvete.
ICECREAM_EVENT_EXCHANGE_SCOOP_SUCCESS	Você trocou %d Bolas de Sorvete antigas pelas novas na interface do evento.
RAMADAN_EVENT_GET_BREAD	<Ramadã> Você coletou 1 Pão de Rosca.
RAMADAN_EVENT_GET_FIG	<Ramadã> Você coletou 1 Figo.
RAMADAN_EVENT_BREAD_MAX_COUNT	<Ramadã> Você atingiu a quantidade máxima de Pão de Rosca.
RAMADAN_EVENT_FIG_MAX_COUNT	<Ramadã> Você atingiu a quantidade máxima de Figo.
RAMADAN_EVENT_NOT_ENOUGH_BREAD	<Ramadã> Você precisa de 10 Pão de Rosca.
FLOWER_EVENT_NOT_ENOUGH_SHOOT_COUNT	<Jardim Secreto> Não possui sementes suficientes ou precisa alterar o número especificado de trocas.
FLOWER_EVENT_NOT_ENOUGH_EVENTORY_SPACE	<Jardim Secreto> Não há espaço suficiente em seu inventário.
FLOWER_EVENT_NOT_ENOUGH_SHOOT_ENVELOPE	<Jardim Secreto> Não possui caixas de semente suficientes.
FLOWER_EVENT_GET_SHOOT_ENVELOPE	<Jardim Secreto> Recebeu uma caixa de sementes.
FLOWER_EVENT_GET_SHOOT_CHRYSANTHEMUM	<Jardim Secreto> Recebeu Semente de Amaranto.
FLOWER_EVENT_GET_SHOOT_MAY_BELL	<Jardim Secreto> Recebeu Semente de Flor Cônica.
FLOWER_EVENT_GET_SHOOT_DAFFODIL	<Jardim Secreto> Recebeu Semente de Narciso.
FLOWER_EVENT_GET_SHOOT_LILY	<Jardim Secreto> Recebeu Semente de Lírio.
FLOWER_EVENT_GET_SHOOT_SUNFLOWER	<Jardim Secreto> Recebeu Semente de Girassol.
FLOWER_EVENT_ITEM_FULL_AND_NOT_USE	<Jardim Secreto> Não é possível trocar porque o número de sementes em posse excede o limite.
FLOWER_EVENT_ENVELOPE_MAX	<FLOWER_EVENT>Você não pode mais obter sementes de Flores.
SELECT_ATTR_NOTICE	Não é possível abrir a loja pessoal enquanto estiver utilizando o Perg. do Aprimoramento+.
TOOLTIP_AFFECT_SECRET_DUNGEON_BUFF_C	Um Baú Oculto Bônus será recebido ao derrotar Lord Gahnasel ou Dragão da Água.	SNA
TOOLTIP_AFFECT_SECRET_DUNGEON_BUFF_POINT_C	Acúmulo do Bônus do Templo Oculto (Nível C): %d	SA
TOOLTIP_AFFECT_SECRET_DUNGEON_BUFF_POINT_B	Acúmulo do Bônus do Templo Oculto (Nível B): %d	SA
TOOLTIP_AFFECT_SECRET_DUNGEON_BUFF_POINT_A	Acúmulo do Bônus do Templo Oculto (Nível A): %d	SA
MAP_SECRET_DUNGEON	Templo Oculto
TOOLTIP_SECRET_DUNGEON_SCROLL_PLACE_INFO	Você pode utilizar o item aqui.
TOOLTIP_SECRET_DUNGEON_SCROLL_INFO	%s: %d, %d
SECRET_DUNGEON_CREATE_REWARD_POSSIBLE	Deseja entrar no Templo Oculto?\nRecompensa diária: Disponível
SECRET_DUNGEON_CREATE_REWARD_IMPOSSIBLE	Deseja entrar no Templo Oculto?\nRecompensa diária: Indisponível (Tempo restante: %s)
SECRET_DUNGEON_ENTER_MEMBER_REWARD_POSSIBLE	Templo Oculto foi criado. Deseja entrar?\nRecompensa diária: Disponível
SECRET_DUNGEON_ENTER_MEMBER_REWARD_IMPOSSIBLE	Templo Oculto foi criado. Deseja entrar?\nRecompensa diária: Indisponível (Tempo restante: %s)
SECRET_DUNGEON_ENTER_DUNGEON_RE_REQUEST	Será removido do grupo caso não entre.\nDeseja entrar?
SECRET_DUNGEON_ENTER_QUESTION_YES	Sim	
SECRET_DUNGEON_ENTER_QUESTION_NO	Não	
SECRET_DUNGEON_ENTER_QUESTION_ANSWER_TIMEOVER	Você se recusou a entrar
SECRET_DUNGEON_ENTER_LIMIT_TIME	Tempo limite para entrar: %d segundos
MAP_ELEMENTAL_DUNGEON_ELECTRICITY	Terra dos Espíritos (Relâmpago)
MAP_ELEMENTAL_DUNGEON_FIRE	Terra dos Espíritos (Fogo)
MAP_ELEMENTAL_DUNGEON_DARK	Terra dos Espíritos (Trevas)
TOOLTIP_AFFECT_SECRET_DUNGEON_BUFF_B	Um Baú Oculto Bônus será recebido ao derrotar Jotun Thrym ou ao concluir o Templo do Zodíaco.	SNA
TOOLTIP_AFFECT_SECRET_DUNGEON_BUFF_A	Um Baú Oculto Bônus será recebido ao concluir o Templo da Serpente ou Abismo Boreal.	SNA
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_NIMBLE	Casco Veloz	SNA
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_EXP	Experiência	SNA
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_ATTACK_SPEED	Frenesi	SNA
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_GYEONGGONG	Passos Leves	SNA
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_INVINCIBILITY	Imortalidade	SNA
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_KNOCKBACK	Não Empurrar	SNA
TOOLTIP_MOUNT_UPGRADE_SKILLBOOK_USE	Deseja aprender %s?
TOOLTIP_MOUNT_UPGRADE_SKILL_LEVEL_UP	Deseja aprimorar para o próximo nível?\nNecessário: %d gaya / %d gold
CATEGORY_SKILL_HORSE_SKILL_BOOK	Livro de Equitação
MOUNT_UPGRADE_SYSTEM_LEVEL_UP_POPUP_MSG_LEVEL	Deseja tentar fortalecer seu cavalo para o nível %d?
MOUNT_UPGRADE_SYSTEM_LEVEL_UP_POPUP_RETRY_COST	É necessário %d forragem, %d gaya e %d gold para fortalecer o nível da sua montaria.
MOUNT_UPGRADE_SYSTEM_LEVEL_UP_POPUP_COST	Necessário %d forragem e %d gold
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_RANDOM_HUMAN	Bônus contra Humanóides
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_RANDOM_ANIMAL	Bônus contra Animais
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_RANDOM_WONGGUI	Bônus contra Orcs
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_RANDOM_MILGYO	Bônus contra Fanáticos
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_RANDOM_UNDEAD	Bônus contra Mortos-Vivos
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_RANDOM_DEVIL	Bônus contra Demônios
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_RANDOM_CZ	Bônus contra Zodiacais
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_RANDOM_DESSERT	Bônus contra Desérticos
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_RANDOM_INSECT	Bônus contra Insetos
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_RANDOM_MONSTER	Bônus contra Monstros
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_EFFECT_UP	Aumenta os efeitos das habilidades do cavalo de guerra enquanto estiver montado	SNA
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_JOB_WARRIOR	Bônus contra Guerreiro
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_JOB_ASSASIN	Bônus contra Ninja
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_JOB_SURA	Bônus contra Shura
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_JOB_SHAMAN	Bônus contra Shaman
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_JOB_WOLF	Bônus contra Lycan
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_SUNGMA_STR	Ímpeto de Sung Ma (FOR)	SNA
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_SUNGMA_HP	Ímpeto de Sung Ma (VIT)	SNA
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_SUNGMA_MOVE	Ímpeto de Sung Ma (RES)	SNA
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_SUNGMA_IMMUNE	Ímpeto de Sung Ma (INT)	SNA
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_HIT_PCT	Precisão	SNA
HORSE_LEVEL4	Cavalo de Guerra Poderoso
MOUNT_UPGRADE_TOOLTIP_SKILL_NEXT_LEVEL	Próximo nível: %d (Máx: %d)
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_TO_STRONG	Perícia	SNA
MOUNT_UPGRADE_SYSTEM_LEVEL_UP_RESULT_YANG_OR_FEED_NOT_ENOUGH	Não possui gold ou forragem suficiente
MOUNT_UPGRADE_SYSTEM_LEVEL_UP_RESULT_GEM_NOT_ENOUGH	Não possui gaya suficiente
MOUNT_UPGRADE_SYSTEM_LEVEL_UP_RESULT_PERCENT_SUCCESS	O nível da montaria foi aumentado para %d
MOUNT_UPGRADE_SYSTEM_LEVEL_UP_RESULT_PERCENT_FAIL	Falhou em aumentar o nível da montaria
MOUNT_UPGRADE_SYSTEM_BANN_WHILE_MOUNTING	Não é possível realizar esta ação enquanto estiver na montaria
CLICK_BEAD_DESCRIPTION	Mármore da Vida é utilizado como entrada para o Templo do Zodíaco.
VALENTINE_DAY_EVENT_MESSAGE_EVENT_START	O evento dos namorados foi iniciado.
VALENTINE_DAY_EVENT_MESSAGE_EVENT_END	O evento dos namorados foi encerrado.
VALENTINE_DAY_EVENT_MESSAGE_CANNOT_USE_EVENT_ITEM_EVENT_ENDED	Não é possível utilizar pois o evento foi encerrado.
VALENTINE_DAY_EVENT_MESSAGE_CANNOT_USE_EVENT_ITEM_DIFFERENT_GENDER	Não pode ser utilizado devido a incompatibilidade de gênero. Empacote um presente e passe para outro personagem.
VALENTINE_DAY_EVENT_MESSAGE_CANNOT_WRAP_EVENT_ITEM_ALREADY_MAX_COUNT	O número de itens coletados foi excedido e não pode ser usado.
VALENTINE_DAY_EVENT_MESSAGE_CANNOT_CLICK_USE_OR_WRAP_BUTTON	Não é possível usar/empacotar.
VALENTINE_DAY_EVENT_MESSAGE_CANNOT_CLICK_WRAP_BUTTON	Não é possível empacotar.
VALENTINE_DAY_EVENT_MESSAGE_NOT_ENOUGH_ITEM	Não tem itens suficientes.
VALENTINE_DAY_EVENT_MESSAGE_NOT_ENOUGH_WRAP_ITEM	Empacotamento está disponível a partir de 50 unidades.
VALENTINE_DAY_EVENT_MESSAGE_NOT_ENOUGH_LEVEL	Empacotamento está disponível apenas para personagens de nível 90 ou superior.
VALENTINE_DAY_EVENT_MESSAGE_NOT_ENOUGH_INVENTORY	Não há espaço suficiente em seu inventário
VALENTINE_DAY_EVENT_MESSAGE_COOLTIME	Por favor, tente novamente mais tarde.
VALENTINE_DAY_EVENT_MESSAGE_ADD_ROSE	Quantidade de Rosa aumentou em 1.
VALENTINE_DAY_EVENT_MESSAGE_ADD_CHOCOLATE	Quantidade de Chocolate aumentou em 1.
VALENTINE_DAY_EVENT_MESSAGE_CANNOT_GET_ROSE	Não é possível coletar mais Rosas.
VALENTINE_DAY_EVENT_MESSAGE_CANNOT_GET_CHOCOLATE	Não é possível coletar mais Chocolates.
VALENTINE_DAY_EVENT_MESSAGE_CANNOT_UNPACK_ROSE	O número de Rosas coletadas está no limite.
VALENTINE_DAY_EVENT_MESSAGE_CANNOT_UNPACK_CHOCOLATE	O número de Chocolates coletados está no limite.
VALENTINE_DAY_EVENT_MESSAGE_WRAP_SUCCESS_ROSE	Rosa empacotada.
VALENTINE_DAY_EVENT_MESSAGE_WRAP_SUCCESS_CHOCOLATE	Chocolate empacotado.
MERCENARY_TOOLTIP_MISSION	Missões
MERCENARY_TOOLTIP_MANAGE	Gerenciamento de Mercenários
MERCENARY_TOOLTIP_CLOSE	Fechar
MERCENARY_TOOLTIP_DISPATCH	Enviado
MERCENARY_TOOLTIP_INJURE	Lesionado
MERCENARY_TOOLTIP_MISSION_LOCKSLOT_1	Necessário nível conquistador %d para desbloquear
MERCENARY_TOOLTIP_MISSION_LOCKSLOT_2	Missão com melhores recompensas será liberada
MERCENARY_TOOLTIP_MISSION_DISPATCH	Enviado
MERCENARY_TOOLTIP_MISSION_WAIT	Disponível
MERCENARY_TOOLTIP_MISSION_COMPLETE	Concluído
MERCENARY_TOOLTIP_MISSION_END	Encerrado
MERCENARY_TOOLTIP_MISSION_GIVEUP	Abandonado
MERCENARY_TOOLTIP_MISSION_REFRESH	Renovar Missão
MERCENARY_TOOLTIP_POSSIBLE_MERCENARY	Mercenários selecionados
MERCENARY_MISSION_REFRESH_FAIL_MERCENARY	Não é possível renovar quando não há mercenários
MERCENARY_NAME_NORMAL	Comum
MERCENARY_NAME_NIMBLE	Hábil
MERCENARY_NAME_STRONG	Forte
MERCENARY_NAME_TRAINED	Experiente
MERCENARY_NAME_COLLECTOR	Colecionador
MERCENARY_NAME_LUCKY	Sortuda
MERCENARY_NAME_EXP	Instrutor
MERCENARY_SPECIFICITY_NONE	Nenhum
MERCENARY_SPECIFICITY_SPY	Batedor
MERCENARY_SPECIFICITY_FIGHTER	Lutador
MERCENARY_SPECIFICITY_RESCUE	Protetor
MERCENARY_SPECIFICITY_COLLECTOR	Colecionador
MERCENARY_SPECIFICITY_LUCKY	Dama da Sorte
MERCENARY_SPECIFICITY_GRADE_LOWER	(Baixo)
MERCENARY_SPECIFICITY_GRADE_MIDDLE	(Médio)
MERCENARY_SPECIFICITY_GRADE_UPPER	(Alto)
MERCENARY_MISSION	Missão
MERCENARY_SKILL_DECREASE_TIME	Redução do tempo de missão
MERCENARY_SKILL_INCREASE_SUCCESS_PCT	Aumento da taxa de sucesso
MERCENARY_SKILL_DECREASE_INJURY_PCT	Redução da taxa de lesões
MERCENARY_SKILL_INJURY_DANGER_BENEFITS	Risco com benefício
MERCENARY_SKILL_CONQUEROR_EXP_BONUS	Experiência extra do conquistador
MERCENARY_SKILL_UNIQUE	Único
MERCENARY_DECREASE_TIME	Tempo de missão -%.1f%%
MERCENARY_INCREASE_SUCCESS_PCT	Taxa de sucesso +%.1f%%
MERCENARY_DECREASE_INJURY_PCT	Chance de lesões -%.1f%%
MERCENARY_INJURY_DANGER_BENEFITS	Chance de lesões +%.1f%%
MERCENARY_CONQUEROR_EXP_BONUS	Experiência do conquistador +%.1f%%
MERCENARY_UNIQUE_1	Taxa de sucesso +%.1f%%
MERCENARY_UNIQUE_2	Taxa de sucesso +%.1f%%
MERCENARY_ADD_REWARD	Chance de obter recompensa extra +%.1f%%
MERCENARY_LEVEL	Nível: %d
MERCENARY_EXP	Experiência: 
MERCENARY_EXP_MAX	Máx. 
MERCENARY_SKILL	Habilidade: %s
MERCENARY_SPECIFICITY	Especialidade: %s
MERCENARY_SPECIFICITY_EXPLAIN_GAIN	Há 50%% de chance de receber uma especialização ao atingir o nível %d
MERCENARY_SPECIFICITY_EXPLAIN_UP	Ao atingir o nível %d, há 50%% de chance de receber a especialização %s
MERCENARY_NONE	Nenhum
MERCENARY_LOCK_SLOT_INFO	Você pode expandir o espaço para mercenários ao usar o item Expandir Mercenários.
MERCENARY_CHAT_DRAIN_NEED_MAIN	Selecione o mercenário principal
MERCENARY_CHAT_DRAIN_MERCENARY_REGISTER	Registre o mercenário principal e o mercenário material
MERCENARY_CHAT_DRAIN_MAX_LEVEL	O mercenário já atingiu o nível máximo
MERCENARY_CHAT_SUB_DRAIN_MERCENARY_WARNING	Selecionou mercenário em missão ou lesionado
MERCENARY_CHAT_MAIN_DRAIN_MERCENARY_WARNING	Selecionou mercenário lesionado
MERCENARY_CHAT_DRAIN_MAIN_EXP_MERCENARY	Este mercenário só pode ser um mercenário material
MERCENARY_CHAT_DRAIN_SUB_MAX_COUNT	O número máximo de mercenários materiais que podem ser registrados é 10
MERCENARY_CHAT_DISPATCH_JOIN_WARNING	Selecionou mercenário que não pode não cumpre requisito
MERCENARY_CHAT_DISPATCH_MAX_COUNT	Selecionou o limite máximo de mercenários
MERCENARY_CHAT_DISPATCH_SELECT_MERCENARY	Selecione um mercenário
MERCENARY_CHAT_DISPATCH_SELECT_MISSION	Não há missões selecionadas.
MERCENARY_CHAT_DISPATCH_NOT_ENOUGHT_ACTIVE	Não possui vigor suficiente
MERCENARY_CHAT_MERCENARY_CURE_DONE	%s foi curado
MERCENARY_CHAT_MERCENARY_FIRE_DONE	%s foi dispensado
MERCENARY_CHAT_MERCENARY_ADD_DONE	%s foi contratado
MERCENARY_CHAT_MERCENARY_SKILL_ADD_DONE	Você contratou %s, com habilidade %s
MERCENARY_CHAT_MERCENARY_NO_MORE_REGIST	Você não pode registrar mais mercenário material
MERCENARY_CHAT_MERCENARY_DRAIN_DONE	%s atingiu o nível %d
MERCENARY_CHAT_NOT_ENOUGHT_YANG	%s gold insuficiente
MERCENARY_CHAT_NOT_ENOUGHT_CONQUEROR_LEVEL	Apenas para personagens de nível Conquistador
MERCENARY_CHAT_MAX_MERCENARY_EMPLOY	Você não pode contratar mais mercenários
MERCENARY_CHAT_SPECIFICITY_GAIN	%s recebeu %s!
MERCENARY_CHAT_AUTO_DISPATCH_FAIL	Você não tem um mercenário que possa realizar a missão
MERCENARY_CHAT_MISSION_ACTIVE_GAIN	Recebeu %d vigor. Vigor adquirido: %d
MERCENARY_CHAT_MISSION_COMPLETE_NOTICE	[Mercenário] Missão finalizada
MERCENARY_CHAT_MAX_ACTIVE_INCREASE_FOR_LEVELUP	Vigor máximo aumentou devido ao aumento de nível do Conquistador
MERCENARY_CHAT_MISSION_REFRESH_FAIL_STATE_RUN	Você não pode realizar esta ação porque há mercenário em missão
MERCENARY_CHAT_MISSION_REFRESH_FAIL_STATE_COMPLETE	Você não pode realizar esta ação porque uma missão foi finalizada
MERCENARY_CHAT_OVER_MAX_ACTIVE	Não é possível utilizar porque excede o vigor máximo
MERCENARY_CHAT_EXIST_COMPLETE_MISSION	[Mercenário] Missão finalizada
MERCENARY_CHAT_DONT_CLEAR_QUEST	Você não completou a pré-missão do mercenário
MERCENARY_CHAT_NOT_ENOUGHT_INVENTORY	Seu inventário está cheio
MERCENARY_CHAT_MAX_YANG	O resultado não pode ser verificado porque ultrapassa 2 bilhões de gold.
MERCENARY_CHAT_DISPATCH	Enviado para %s
MERCENARY_CHAT_GIVEUP	Missão para %s foi abandonada
MERCENARY_CHAT_MAX_EXPAND_SLOT	Já possui o máximo de espaços
MERCENARY_CHAT_NOT_ENOUGHT_EXPAND_ITEM	Necessário %d Expandir Mercenários
MERCENARY_CHAT_MERCENARY_SLOT_EXPAND	O espaço de mercenário foi expandido
MERCENARY_CURE_ASK	Deseja curar %s?
MERCENARY_CURE_NEED_ITEM	Você precisa do item para curar o mercenário
MERCENARY_FIRE_ASK	Deseja dispensar %s? Você não pode recontratar o mercenário depois que dispensá-lo.
MERCENARY_FIRA_DISPATCH	Você não pode dispensar um mercenário em missão
MERCENARY_POPUP_DRAIN_NEED_SUB	Escolha o mercenário material
MERCENARY_POPUP_DRAIN_DEL_LEFT_EXP	Os pontos de experiência restantes serão removidos
MERCENARY_POPUP_DRAIN_ASK	Os mercenários materiais serão absorvidos e removidos. Deseja prosseguir?
MERCENARY_POPUP_DRAIN_ASK_EXP	Os pontos de experiência do mercenário material podem ser excluídos. Deseja prosseguir?
MERCENARY_POPUP_DRAIN_SUB_LEVEL_WARNING	Mercenário de alto nível está incluído. Deseja prosseguir?
MERCENARY_POPUP_EMPLOY_ASK_1	Você quer contratar um mercenário?
MERCENARY_POPUP_EMPLOY_ASK_2	Necessário Licença de Mercenário e %s gold.
MERCENARY_POPUP_DISPATCH_START	Deseja enviar para missão?
MERCENARY_POPUP_DISPATCH_USING_ITEM	Deseja prosseguir com o envio utilizando a quantidade de Moderar Vigor necessário?
MERCENARY_POPUP_DISPATCH_DONT_USING_ITEM	Deseja prosseguir com o envio sem utilizar Moderar Vigor?
MERCENARY_POPUP_MISSION_GIVEUP_1	Deseja desistir da missão?
MERCENARY_POPUP_MISSION_GIVEUP_2	Não poderá refazer a missão caso desista
MERCENARY_POPUP_MISSION_RESULT	Deseja verificar o resultados da missão finalizada?
MERCENARY_POPUP_MISSION_RESULT_USING_ITEM	Deseja utilizar a Essência do Legionário e obter recompensa extra?  Em caso de falha na missão, o item não será utilizado.
MERCENARY_POPUP_MISSION_RESULT_DONT_USING_ITEM	Deseja verificar o resultado sem utilizar a Essência do Legionário?
MERCENARY_POPUP_MISSION_SUCCESS	Missão %s concluída com sucesso!
MERCENARY_POPUP_MISSION_FAIL	Missão %s falhou!
MERCENARY_POPUP_MISSION_MERCENARY_INJURE	Mercenário foi lesionado
MERCENARY_POPUP_MISSION_USE_ITEM	Recebeu a recompensa extra ao utilizar a Essência do Legionário.
MERCENARY_POPUP_MISSION_REWARD_EXP	Recebeu %d pontos de experiência do conquistador.
MERCENARY_POPUP_MISSION_REWARD_YANG	Recebeu %s gold.
MERCENARY_POPUP_MISSION_REFRESH	Todas as missões serão renovadas. Deseja prosseguir?
MERCENARY_POPUP_EXPAND_SLOT_QUESTION	Deseja expandir o espaço? Consumirá %dun.
MERCENARY_MISSION_MAP_NONE	Nenhum
MERCENARY_MISSION_MAP_THREE	Vale Suryong
MERCENARY_MISSION_MAP_DESERT	Deserto Yonbi
MERCENARY_MISSION_MAP_SPIDER	Gruta Gomi
MERCENARY_MISSION_MAP_MILLGYO	Templo Miokio
